epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.2867,1.9277585523958785,0.0296,3.150981078132654
1,0.3409,1.7822743684719926,0.05,3.670045535023601
2,0.3814,1.6778574980105074,0.0692,4.037705227970696
3,0.4094,1.5966100890796406,0.0922,3.9027336192207214
4,0.4364,1.5377278179406357,0.0723,4.287398806014381
5,0.4521,1.5021193991073023,0.0981,4.086120195663013
6,0.4699,1.4443288750160996,0.1207,3.7991448926468627
7,0.472,1.44121487452961,0.1003,4.218134302681627
8,0.4866,1.4188550887778164,0.1134,4.040928046924238
9,0.5052,1.363891554716677,0.1127,3.969386333855577
10,0.52,1.3365829268964335,0.114,4.290313245389409
11,0.5267,1.32026791801087,0.1032,4.331983688159491
12,0.5258,1.3051839072864277,0.1043,4.424297808077388
13,0.5287,1.3014232320145678,0.0977,4.384464512998685
14,0.5361,1.2916878362814077,0.0881,4.588079092220758
15,0.5466,1.2599376219149214,0.1075,4.164370326569286
16,0.541,1.2747129706529001,0.0924,4.559910758234822
17,0.5524,1.2386118198355165,0.0844,4.471780955981903
18,0.569,1.206098362089346,0.1,4.279399292156719
19,0.5703,1.2186720247466725,0.1341,3.488307143933476
20,0.5625,1.219017205337366,0.1018,3.583686351014402
21,0.5515,1.243292666090944,0.1091,3.545721497398596
22,0.5599,1.2165176135282547,0.1256,3.3441942111371805
23,0.5656,1.2012650368693538,0.1401,3.155493319605867
24,0.5796,1.1824980882790903,0.1007,3.6752662148338535
25,0.5761,1.1821590576308985,0.1577,2.941012749656702
26,0.5857,1.1434788884827123,0.1077,3.6113292134988804
27,0.6018,1.1286320669201617,0.121,3.2204392999886706
28,0.5957,1.1322520750399214,0.1237,3.3935151549573903
29,0.5956,1.1274048150918734,0.1054,3.434656284106806
