epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.2678,1.95914604374395,0.0361,3.069573593596681
1,0.3249,1.8173570705298037,0.0675,3.072900814751086
2,0.3784,1.691228643012123,0.0637,3.599332225970186
3,0.4109,1.6010676869949974,0.0951,3.314443758882273
4,0.4418,1.529584092834887,0.0966,3.1906284874620527
5,0.46,1.4883411322919706,0.1202,3.1958449351520963
6,0.4735,1.4499180983430662,0.1131,3.0344652314536487
7,0.4854,1.418906320398227,0.1017,3.321830656581793
8,0.4937,1.3964002298090024,0.1116,3.4922010395854426
9,0.513,1.3567993458086691,0.1384,3.4143082013907144
10,0.5105,1.3487111844193822,0.1168,3.314385094962562
11,0.508,1.3838772156748909,0.1452,2.9380351849638235
12,0.5258,1.3076455791156514,0.1095,3.308662278964497
13,0.5368,1.2936185228938875,0.1247,3.069062603929172
14,0.5418,1.2772217865188282,0.1078,3.295283541511804
15,0.5466,1.2615901446951845,0.1057,3.4406393556930004
16,0.5534,1.257513115390802,0.1163,3.1684457730180537
17,0.5631,1.2264739739628265,0.1067,3.2698945210764583
18,0.5564,1.2358868701008563,0.0805,3.6633349790359837
19,0.5618,1.2294490870576316,0.1111,3.055870779025288
20,0.5706,1.2146106318543894,0.1323,2.926641201439757
21,0.5753,1.1969089671826592,0.1227,3.033308141909468
22,0.5804,1.1828291812262977,0.1123,3.0963903212318784
23,0.5831,1.1787061203782931,0.1437,2.8566411889780063
24,0.5887,1.1650196828019506,0.13,2.9930823039703855
25,0.5793,1.1892572719449053,0.1304,2.9560913026523283
26,0.5948,1.1604076871475852,0.1617,2.7209181199058556
27,0.592,1.1537195996354563,0.1184,3.0650033813695936
28,0.5959,1.13904847771215,0.1309,2.9520613141714955
29,0.6033,1.1315386093462618,0.1626,2.823636758060882
