epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.259,1.9919171512317353,0.0484,2.726071929017576
1,0.3237,1.8247927465377904,0.0643,3.122907757378234
2,0.3703,1.70699257667834,0.0938,3.158679962919924
3,0.4058,1.6185421368565422,0.085,3.065503192024109
4,0.4229,1.5809916398776607,0.0988,2.8864253009089267
5,0.4434,1.5186144140200875,0.0868,3.5013084921973965
6,0.4557,1.4862770897130997,0.1013,3.343713987368745
7,0.4687,1.4652368721489708,0.0899,3.0942956030178377
8,0.4785,1.4505948405296276,0.1243,2.6998435750175207
9,0.4834,1.4198825555487562,0.133,2.943029086810712
10,0.4977,1.40082478104308,0.1502,2.5648952109364274
11,0.4869,1.3977998500814834,0.0894,3.3279861352695064
12,0.512,1.3537830965587507,0.107,3.0943586087455386
13,0.5186,1.339747737010066,0.1163,3.010675594067802
14,0.5261,1.320172118112302,0.1337,2.9462805906423744
15,0.5367,1.2939315377332914,0.1232,2.7317621704107657
16,0.5413,1.2804400176285935,0.1223,3.092007143428912
17,0.5446,1.2676777588292814,0.15,2.8957836247099853
18,0.5501,1.2658057494666248,0.1192,3.1018179003803876
19,0.1792,2.2266160108791753,0.9323,0.5024529387966131
20,0.1,,0.0,
21,0.1,,0.0,
22,0.1,,0.0,
23,0.1,,0.0,
24,0.1,,0.0,
25,0.1,,0.0,
26,0.1,,0.0,
27,0.1,,0.0,
28,0.1,,0.0,
29,0.1,,0.0,
