epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.1,,0.0,
1,0.4574,1.5589590895290193,0.1085,3.0469776700479914
2,0.4827,1.4693019376776089,0.1054,3.958893662443557
3,0.5258,1.3361182547986699,0.1094,3.9757246986364785
4,0.5487,1.273278880233582,0.1125,4.1763873298328145
5,0.576,1.2091411291219938,0.1106,4.338549796003884
6,0.5908,1.1621732386156394,0.1106,4.4476784951389785
7,0.6054,1.1212876589534382,0.1114,4.674839360264544
8,0.6169,1.0882985074870504,0.118,4.626562579371297
9,0.6228,1.0877675048459452,0.1608,2.91452190137138
10,0.6367,1.042611047482719,0.1312,3.1964715448812173
11,0.65,1.0182487345732059,0.1357,2.813673973845217
12,0.6598,0.9869256876528073,0.1268,3.101630583357887
13,0.6707,0.9644557940312468,0.1375,2.726694017553482
14,0.6719,0.9484745657291657,0.1324,3.016697514933138
15,0.6816,0.9269915325953938,0.136,2.775866863445733
16,0.6892,0.90225441177813,0.1239,3.064091453917872
17,0.6973,0.8917732042626451,0.1352,2.7580872838870407
18,0.6991,0.8741782251447915,0.1302,3.0209619336234876
19,0.7122,0.8601964280818598,0.1326,2.792396746504421
20,0.7107,0.8430025914606576,0.1327,3.0055603028867193
21,0.7198,0.8351152301215516,0.1383,2.768579189769757
22,0.7223,0.8140881495734754,0.1225,3.07437338920447
23,0.7232,0.8220565572333413,0.1437,2.7980554568500944
24,0.7298,0.7969679079307154,0.1344,2.894583479664958
25,0.7252,0.8033649905230671,0.149,2.7947587464183283
26,0.7363,0.7827263164063232,0.1285,2.9355800806904755
27,0.7328,0.7861426169879902,0.1609,2.692970403847984
28,0.7401,0.7750329156272328,0.1411,2.748094642124237
29,0.7428,0.7545263606328934,0.1559,2.795269856056847
