epoch,acc,precision,recall,f1,loss
0,0.1,0.1,0.1,0.10000000000000002,
1,0.4604,0.4604,0.4604,0.4604,1.5580767438815424
2,0.4866,0.4866,0.4866,0.4866,1.4617547798461425
3,0.5225,0.5225,0.5225,0.5225,1.3405566965810025
4,0.546,0.546,0.546,0.546,1.2786931205100525
5,0.5663,0.5663,0.5663,0.5663,1.213604553629415
6,0.5888,0.5888,0.5888,0.5888,1.1594493901386809
7,0.604,0.604,0.604,0.604,1.1233170897054214
8,0.615,0.615,0.615,0.615,1.0830147715803153
9,0.625,0.625,0.625,0.625,1.0542128800203243
10,0.6377,0.6377,0.6377,0.6377,1.0241215581330247
11,0.6443,0.6443,0.6443,0.6443,1.0040092858643577
12,0.6535,0.6535,0.6535,0.6535,0.9788470104479561
13,0.6612,0.6612,0.6612,0.6612,0.9603421500506112
14,0.6684,0.6684,0.6684,0.6684,0.941453158665008
15,0.6734,0.6734,0.6734,0.6734,0.9264319785677206
16,0.6825,0.6825,0.6825,0.6825,0.9039050182595421
17,0.6853,0.6853,0.6853,0.6853,0.8953817407734478
18,0.6949,0.6949,0.6949,0.6949,0.8779288640799233
19,0.6981,0.6981,0.6981,0.6981,0.8665638035669113
20,0.7012,0.7012,0.7012,0.7012,0.8549300291286871
21,0.7055,0.7055,0.7055,0.7055,0.8474582559384477
22,0.7088,0.7088,0.7088,0.7088,0.8349387817108593
23,0.7137,0.7137,0.7137,0.7137,0.8254170844349237
24,0.7129,0.7129,0.7129,0.7129000000000001,0.8176823677346349
25,0.7194,0.7194,0.7194,0.7194,0.8078169113340469
26,0.7194,0.7194,0.7194,0.7194,0.8022786169387282
27,0.7223,0.7223,0.7223,0.7223,0.7897372931337204
28,0.7273,0.7273,0.7273,0.7273,0.7839944915840039
29,0.7281,0.7281,0.7281,0.7281,0.7779411473594153
