epoch,acc,precision,recall,f1,loss
0,0.1277,0.1277,0.1277,0.1277,2.2971874984206666
1,0.1928,0.1928,0.1928,0.1928,2.2902644455053243
2,0.2792,0.2792,0.2792,0.2792,2.2818487039796866
3,0.3741,0.3741,0.3741,0.3741,2.2719776979677238
4,0.4676,0.4676,0.4676,0.4676,2.2606533621526825
5,0.5513,0.5513,0.5513,0.5513,2.2479226118440083
6,0.6271,0.6271,0.6271,0.6271,2.2334527301180893
7,0.6829,0.6829,0.6829,0.6829,2.2178182161537703
8,0.7337,0.7337,0.7337,0.7337,2.2002991217716485
9,0.7734,0.7734,0.7734,0.7733999999999999,2.181103624356021
10,0.8064,0.8064,0.8064,0.8064,2.1604978111898823
11,0.83,0.83,0.83,0.83,2.1385537530206573
12,0.8451,0.8451,0.8451,0.8451,2.1156359812256635
13,0.8612,0.8612,0.8612,0.8612,2.0898368282682576
14,0.874,0.874,0.874,0.874,2.062677728142708
15,0.8827,0.8827,0.8827,0.8827,2.0336299747418445
16,0.8873,0.8873,0.8873,0.8873,2.004003751050135
17,0.8994,0.8994,0.8994,0.8994,1.9738523147668048
18,0.9055,0.9055,0.9055,0.9055,1.9415955452402687
19,0.9078,0.9078,0.9078,0.9078,1.90837922749246
