epoch,acc,precision,recall,f1,loss
0,0.2402,0.2402,0.2402,0.2402,2.1187066292991275
1,0.3396,0.3396,0.3396,0.3396,1.9232615106783735
2,0.4419,0.4419,0.4419,0.4419,1.7497926238245858
3,0.5121,0.5121,0.5121,0.5121,1.588521811527947
4,0.5603,0.5603,0.5603,0.5603,1.4410202328008586
5,0.5889,0.5889,0.5889,0.5889,1.3237302866987526
6,0.6053,0.6053,0.6053,0.6053,1.2277402950171084
7,0.618,0.618,0.618,0.618,1.1561397159823215
8,0.629,0.629,0.629,0.629,1.0995304672101054
9,0.6401,0.6401,0.6401,0.6401,1.0545909044841608
10,0.6473,0.6473,0.6473,0.6473,1.02167347616281
11,0.6552,0.6552,0.6552,0.6552,0.993166301958858
12,0.6605,0.6605,0.6605,0.6605,0.9697225537543861
13,0.6652,0.6652,0.6652,0.6652,0.9496275710221678
14,0.6739,0.6739,0.6739,0.6739,0.9288182191955395
15,0.6794,0.6794,0.6794,0.6794,0.9126033982910668
16,0.6865,0.6865,0.6865,0.6865,0.8962872175934216
17,0.6915,0.6915,0.6915,0.6915,0.8829825980404314
18,0.6963,0.6963,0.6963,0.6963,0.8691992907287975
19,0.6997,0.6997,0.6997,0.6997,0.8562045442029691
20,0.7027,0.7027,0.7027,0.7027,0.8472344487810287
21,0.705,0.705,0.705,0.705,0.8344214944222483
22,0.7107,0.7107,0.7107,0.7106999999999999,0.8255889885151348
23,0.7138,0.7138,0.7138,0.7138,0.8142943945936502
24,0.7149,0.7149,0.7149,0.7149,0.8052296325231132
25,0.7198,0.7198,0.7198,0.7198,0.7978901240391473
26,0.7221,0.7221,0.7221,0.7221,0.7879861176204377
27,0.7268,0.7268,0.7268,0.7268,0.7815573394488984
28,0.729,0.729,0.729,0.729,0.7730424995429981
29,0.7321,0.7321,0.7321,0.7321000000000001,0.7668118092198722
30,0.7318,0.7318,0.7318,0.7317999999999999,0.7609220385170592
31,0.7375,0.7375,0.7375,0.7375,0.7556183767585328
32,0.74,0.74,0.74,0.74,0.7490357579514623
33,0.7413,0.7413,0.7413,0.7413,0.7438794149758335
34,0.744,0.744,0.744,0.744,0.737351949793843
35,0.7457,0.7457,0.7457,0.7457,0.7314342585996317
36,0.7471,0.7471,0.7471,0.7471,0.7241512453213287
37,0.7481,0.7481,0.7481,0.7481000000000001,0.7195045559551008
38,0.7475,0.7475,0.7475,0.7475,0.7171977245198271
39,0.749,0.749,0.749,0.749,0.7122612217554269
