epoch,test_clean_acc,test_clean_loss,test_asr,test_asr_loss
0,0.0973,2.3023061053768084,0.0002,2.3026015257379813
1,0.1392,2.301745047235185,0.0763,2.302326512184872
2,0.1985,2.300552506355723,0.1697,2.3015092436675055
3,0.2192,2.2968750865596115,0.2098,2.296673598562836
4,0.1909,2.2755781070441956,0.3573,2.234174178664092
5,0.2071,2.2337318560120405,0.1644,2.2622268306221933
6,0.2346,2.2126413728021515,0.1094,2.312904676813988
7,0.2488,2.1982732472146393,0.1206,2.325723909268713
8,0.2327,2.2133908864039524,0.0837,2.355441822367869
9,0.2531,2.2007575095838803,0.0963,2.35569518386938
10,0.2296,2.2183533413395002,0.0874,2.354575397102696
11,0.2699,2.1800387133458616,0.0937,2.3510056665748547
12,0.2456,2.2070040080198057,0.0661,2.3817385306024246
13,0.264,2.1884190261743632,0.0711,2.37247704092864
14,0.2248,2.2244221921179705,0.1043,2.341548906010427
15,0.2175,2.2283724888115173,0.0367,2.409606405124543
16,0.2142,2.233644339689024,0.0944,2.3530781982810636
17,0.2024,2.2486021837611108,0.0152,2.434045205450362
18,0.258,2.1910616485935868,0.1241,2.320385597314045
19,0.2284,2.223393880637588,0.0211,2.4265415957019587
20,0.2164,2.2287050280601357,0.1571,2.2824944356444536
21,0.2424,2.2094160325967582,0.0606,2.38953226994557
22,0.181,2.2656650133193676,0.0786,2.361186900715919
23,0.223,2.2243206576936565,0.0503,2.3977042975699066
24,0.2158,2.2341423277642316,0.2614,2.190745505557698
25,0.2122,2.237735151485273,0.0,2.452956466917779
26,0.1763,2.27649145976753,0.0,2.452008248894078
27,0.2062,2.247497877497582,0.3102,2.1457950598115376
28,0.26,2.186975514053539,0.0005,2.444476098771308
29,0.2897,2.16362433980225,0.2626,2.186474216971428
30,0.2696,2.1795826975707038,0.0001,2.4475319385528564
31,0.2969,2.1540087803154235,0.0955,2.3511394026932444
32,0.2482,2.1999031343277853,0.0741,2.37418893036569
33,0.2665,2.1855519911286176,0.0871,2.359046847956955
34,0.2823,2.1682435987861295,0.1188,2.324829346055438
35,0.2786,2.169084301420078,0.0276,2.416059870628794
36,0.2474,2.2012884434621047,0.1589,2.285778823172211
37,0.2242,2.2270048697283316,0.0093,2.4419996419530006
38,0.2553,2.1935930950626448,0.2359,2.2096929565356795
39,0.2682,2.1845672798764175,0.0193,2.4288851303659427
40,0.2979,2.1511302389157048,0.199,2.2458223233557053
41,0.2622,2.1889779856250544,0.0145,2.4321425826686203
