epoch,test_clean_acc,test_clean_loss,test_asr,test_asr_loss
0,0.0991,2.301140762365664,0.0,2.3486496655704876
1,0.108,2.2962971960012903,0.0,2.4379397078444023
2,0.1528,2.2786662014909447,0.0,2.643049051205571
3,0.1876,2.1964985151260423,0.0,2.9076132934314374
4,0.3202,1.9808468498741856,0.0101,3.1853510495572808
5,0.4353,1.6935067923305134,0.0465,3.356820283987271
6,0.4882,1.4823719438272542,0.0763,3.5067814287667076
7,0.5044,1.389969916008532,0.0864,3.752405040942061
8,0.5214,1.327762266698356,0.1011,3.8605235841708443
9,0.533,1.2921546389119694,0.1008,4.13990392776343
10,0.5447,1.2650735102141628,0.1085,4.038421639238303
11,0.5535,1.2430473562246693,0.1083,4.240293638393902
12,0.5615,1.2256773329390505,0.105,4.520627333333317
13,0.571,1.201909793070711,0.1244,4.225330140263128
14,0.5765,1.1843126267670823,0.1211,4.113713346731168
15,0.5813,1.1728124391918364,0.1141,4.197020405016768
16,0.5867,1.1571273015330013,0.1179,4.184605040870155
17,0.5927,1.1422050486738309,0.1203,4.106090737607913
18,0.5969,1.1276165229824786,0.1211,4.056305094648855
19,0.6033,1.114885573760389,0.1292,3.894797122516571
20,0.6105,1.0985766950125893,0.1268,3.8820978026039685
21,0.6134,1.0883158887156283,0.1245,3.9025898162549297
22,0.6166,1.0752918682159327,0.1419,3.7156019606910196
23,0.6189,1.0643391533019824,0.1329,3.7786540139597444
24,0.6213,1.0526524494631222,0.1344,3.7279452043600356
25,0.6251,1.0443148633923394,0.126,4.078905858170872
26,0.6303,1.033264780482545,0.1374,3.9190489011831557
27,0.6321,1.0249332280966421,0.1378,3.804400872879516
28,0.6375,1.0133069149983196,0.1334,4.041731662262743
29,0.6386,1.0085157211215352,0.1265,4.274728992876534
30,0.6437,0.9918088794897159,0.1291,4.092615705709488
31,0.6457,0.9845541681344516,0.1328,3.9110041944363627
32,0.6484,0.979315596837967,0.1409,3.8271611193879345
33,0.6509,0.9703787018696721,0.1412,3.7620104174263562
34,0.6539,0.9626618039112883,0.1313,3.972874074698256
35,0.6574,0.9559277048507057,0.1268,3.960987906105602
36,0.6593,0.9493303284667932,0.1332,3.842217772913436
37,0.6624,0.9433462775934237,0.135,3.75171543691105
38,0.6638,0.9355738131573406,0.129,4.021884282937827
39,0.6695,0.9306368961120947,0.1237,4.295173668632873
