epoch,test_clean_acc,test_clean_loss,test_asr,test_asr_loss
0,0.0985,2.3045554244861055,0.0,2.357310983700493
1,0.1056,2.308619010181854,0.0,2.484017930472621
2,0.1069,2.30391981045659,0.0,2.6264253287269663
3,0.1422,2.22719689984672,0.0007,2.7947589574149623
4,0.2711,2.0137095043834408,0.0256,2.9614583364309977
5,0.4207,1.715489746663517,0.0775,3.0977551221085813
6,0.4839,1.49305030560722,0.0935,3.3077541433584194
7,0.5094,1.3757960929657325,0.1019,3.4691194589145646
8,0.5261,1.318056424395345,0.0942,3.7404728834621443
9,0.5416,1.2735815154858672,0.0988,3.825672163369176
10,0.5479,1.2434520174900945,0.1017,3.900974122099221
11,0.5587,1.2201968033473714,0.1074,3.9458211847006703
12,0.57,1.1954050928639908,0.1004,4.085816982074286
13,0.5795,1.1723066374135855,0.1056,4.071725045530179
14,0.5832,1.1558560540500922,0.1038,4.14303999663161
15,0.5929,1.1425054913130812,0.102,4.214093542708375
16,0.5974,1.127170696997414,0.1013,4.295394206580262
17,0.609,1.1042666103893195,0.104,4.238898778494935
18,0.6121,1.0913918549641253,0.1002,4.353057288514159
19,0.6147,1.0799340558128234,0.1015,4.310766182768459
20,0.6192,1.0685901946533982,0.0981,4.363642075572151
21,0.6219,1.0547868550395052,0.0985,4.426121958528464
22,0.6261,1.0443147849351073,0.1059,4.433867049293396
23,0.6334,1.0302186469300487,0.0951,4.546003411753109
24,0.6375,1.0178096753339798,0.0888,4.650224213402112
25,0.6382,1.0077840666801403,0.0926,4.597689540241473
26,0.6437,0.998011679409411,0.0905,4.672171160055044
27,0.6488,0.985706477119519,0.0971,4.669983379376201
28,0.653,0.9738029325351166,0.0946,4.7933554382750785
29,0.6529,0.9677773493166548,0.0973,4.807069194964327
30,0.6583,0.9598357044279385,0.0947,4.845854885661945
31,0.6638,0.9512507407048258,0.1036,4.701056417184897
32,0.665,0.946719329292401,0.1061,4.774330636563773
33,0.6674,0.9369351917181533,0.0989,4.86507803868181
34,0.6712,0.9316017614385952,0.1041,4.814056930450586
35,0.6721,0.9233136182775894,0.0961,4.911945088602864
36,0.6732,0.915757284949001,0.0984,4.905841151746317
37,0.674,0.9112146313959798,0.0956,4.95209031897231
38,0.6776,0.9051279855041078,0.0985,4.923256400294197
39,0.6799,0.9026853369828611,0.0978,4.926628016816161
40,0.6781,0.9041012735983815,0.0954,4.902503880448997
41,0.6838,0.8903426425144695,0.0931,4.985826097738248
42,0.687,0.8833333036770075,0.0994,4.968574952774535
43,0.6882,0.8769316757068085,0.096,4.987821124232235
44,0.6917,0.8741582494002943,0.098,5.007551373765111
45,0.6926,0.8713743222026399,0.1,5.04395399535426
46,0.6956,0.8603431674809502,0.0968,5.065346832854298
47,0.6988,0.8564422121063208,0.0946,5.181412271036508
48,0.6992,0.8513071422759717,0.098,5.194083824706154
49,0.7002,0.845721472566501,0.0973,5.2114375155573835
