epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.1233,2.3006490221419655,0.5482,2.2607176989412157
1,0.1168,2.3015818931043337,0.0018,2.295136615491142
2,0.1054,2.3014043946616565,0.0,2.3204731636534865
3,0.1027,2.2987160202794183,0.0,2.3684847004497396
4,0.1135,2.2904184321625927,0.0,2.450378180311892
5,0.1411,2.2657272312968684,0.0,2.539511364488937
6,0.1627,2.215883098852139,0.0002,2.62278333258705
7,0.207,2.1277530498017136,0.0057,2.7393694997976383
8,0.3056,1.9835638322007543,0.0269,2.8141949618586337
9,0.3987,1.8210091316661896,0.0495,2.8858635181817003
10,0.4637,1.6443520502541393,0.0723,2.9223412202950865
11,0.5064,1.4930114757519561,0.0935,2.963647511058722
12,0.5358,1.375415220809059,0.1083,3.002329578034032
13,0.5576,1.2863319051532318,0.1284,3.0105876937841836
14,0.5715,1.2270149019198677,0.1412,2.9846108995687466
15,0.5851,1.1856827111289905,0.1654,2.911510283954608
16,0.5896,1.16068605569224,0.1658,2.925922887393842
17,0.5962,1.1403666051051107,0.1765,2.891224179404993
18,0.6063,1.1186874402216829,0.1888,2.8114846308772177
19,0.6109,1.1009582216366411,0.2158,2.6678124041603017
20,0.6148,1.0859411581636618,0.2295,2.650460809564438
21,0.6184,1.0748492189870475,0.2369,2.621508608610866
22,0.6213,1.0637328586639307,0.2543,2.5528394577983087
23,0.6291,1.0510745118029963,0.2691,2.4819030834082216
24,0.6307,1.0389941879354727,0.2883,2.3901136709859196
25,0.6369,1.0305326222992552,0.3119,2.3187455723460872
26,0.6396,1.0202961923977056,0.2529,2.670164356216455
27,0.642,1.0093647176846148,0.2758,2.526074184777257
28,0.6448,0.9992290063026233,0.2365,2.8091202688674195
29,0.648,0.9895704245795838,0.2573,2.669530748559263
30,0.6495,0.9793867581187726,0.2746,2.5346702786680226
31,0.6517,0.9721084351356799,0.2953,2.4630096404316326
32,0.6558,0.9644154383542057,0.3124,2.3628199763191393
33,0.6602,0.9550636075556088,0.2591,2.672178937604252
34,0.6626,0.9479753811138506,0.279,2.5801592394947623
35,0.6672,0.937490216268899,0.304,2.4427640811322977
36,0.671,0.9309512289187398,0.2621,2.709951615181213
37,0.6723,0.9258072020146794,0.2995,2.4985155598424114
38,0.6751,0.9180625871347543,0.2639,2.7129471766682096
39,0.6771,0.9112429502673043,0.2326,2.915532232854313
