epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.1035,2.302063384376014,0.0,2.330799658839314
1,0.1028,2.3022790480726445,0.0,2.349467314089449
2,0.1058,2.301479850714199,0.0,2.39395442481239
3,0.109,2.299449704325618,0.0,2.466218986450293
4,0.1086,2.290966666163728,0.0,2.552478843603652
5,0.1129,2.269831261314904,0.0,2.671934253491533
6,0.1243,2.222606399188788,0.0,2.816329680311794
7,0.1907,2.1360105775034848,0.0,2.9901975648471724
8,0.2998,2.003479713068222,0.0042,3.1596875845814667
9,0.4044,1.8307594159921519,0.0201,3.3395584254219126
10,0.4798,1.646076586299811,0.0406,3.5180978158030647
11,0.521,1.4872389441481033,0.0516,3.7643596105301342
12,0.5461,1.3639505515083337,0.064,4.023451680192552
13,0.563,1.2743737979437977,0.074,4.31711145711783
14,0.5791,1.2094421163915445,0.0824,4.508195994380183
15,0.5883,1.1646173154584134,0.0894,4.679720660748954
16,0.5967,1.1333183549082697,0.0922,4.8245855048060795
17,0.6042,1.1066437232227753,0.0976,4.960947854831196
18,0.608,1.0890563577889634,0.0984,5.0950730913363325
19,0.6156,1.072596139610766,0.1008,5.176069040267993
20,0.6214,1.057804937370288,0.098,5.318520190997626
21,0.6236,1.042426182439152,0.1025,5.3564066711706095
22,0.6295,1.0295003993442644,0.0987,5.421334131076313
23,0.6353,1.0171852304150883,0.0925,5.485608992104332
24,0.6413,1.0016906846064728,0.0973,5.4653576342061685
25,0.6484,0.9905693138750217,0.0976,5.48962160725944
26,0.653,0.9769555002736589,0.1014,5.4860610824804334
27,0.6555,0.9694152865737391,0.0983,5.57885078424082
28,0.6586,0.9617336315278429,0.0993,5.639836879583974
29,0.663,0.952040616696635,0.0993,5.667029295485621
30,0.6655,0.9432011553273795,0.1001,5.711159412091533
31,0.6674,0.9372628519710261,0.0998,5.796501703536548
32,0.6705,0.9293226953893424,0.0995,5.794945846350429
33,0.6763,0.9205715233525529,0.0943,5.905156138605965
34,0.6789,0.9140286183776185,0.0943,5.917882878178606
35,0.6807,0.9100560616380491,0.0929,5.94843293226565
36,0.682,0.9024046598531948,0.0945,5.933015017463757
37,0.6834,0.8964636572443259,0.097,5.904974114780609
38,0.6884,0.8881014943503724,0.0994,5.888819345650963
39,0.6888,0.8834912504631871,0.0989,5.9677183803278036
