epoch,test_clean_acc,test_clean_loss,test_asr,test_asr_loss
0,0.1135,2.297641031301705,0.0,2.3090052361700946
1,0.1135,2.323877954179314,0.0,2.435581044786295
2,0.3239,2.1257613525269137,0.2453,2.201644683339793
3,0.2898,2.1645853473882006,0.0098,2.443585947061041
4,0.4912,1.965283896513046,0.313,2.144305948998518
5,0.268,2.187779979341349,0.0022,2.45207639408719
6,0.5142,1.9429967259145846,0.3108,2.1453030390344607
7,0.2655,2.1905514556131545,0.0002,2.45419313801322
8,0.4238,2.0309777897634325,0.2855,2.1690458044125016
9,0.2736,2.177687833263616,0.0227,2.432542184355912
10,0.4817,1.9750238869600236,0.2405,2.213699904217082
11,0.391,2.0628364959340186,0.0277,2.4257852651511027
12,0.5352,1.9199313411287442,0.1587,2.2961457049011424
13,0.5184,1.938159976035926,0.081,2.3730458666564553
14,0.5874,1.868642848768052,0.1145,2.3384561371651427
15,0.5708,1.8896218037149708,0.0906,2.364262857254903
16,0.6107,1.8435594716649146,0.1057,2.347406791273955
17,0.6087,1.8534400394767712,0.0994,2.3541972773849587
18,0.6098,1.8436241225831826,0.0682,2.386708220099188
19,0.6315,1.8311385182058735,0.1076,2.347291711029733
20,0.6164,1.8389008257799089,0.0653,2.3891788941280097
21,0.6275,1.834403920325504,0.1061,2.3484029693967976
22,0.58,1.8709343998295487,0.0624,2.391489363020393
23,0.6469,1.8150351389198547,0.1057,2.3500234579584403
24,0.5635,1.8923955829280197,0.0361,2.4170988593131875
25,0.6694,1.7930819957878938,0.1075,2.34766988237952
26,0.5932,1.863598178146751,0.0527,2.4021120845891866
27,0.6838,1.7776000150449716,0.1039,2.35117600829738
28,0.5781,1.8773000870540644,0.0537,2.400771052974045
29,0.6854,1.7754120560967999,0.1023,2.353045828023534
30,0.5952,1.8603302612426176,0.0703,2.3847160734188786
31,0.7257,1.7345824477019582,0.0995,2.3566713758334994
32,0.6681,1.7912303308013138,0.0882,2.3679646018204417
33,0.7682,1.6928124693548603,0.1004,2.3561444996268888
34,0.646,1.8143583194465394,0.0877,2.367639749672762
35,0.7902,1.672667561822636,0.0996,2.357660942016893
36,0.756,1.7075637009493105,0.0962,2.3580632012361176
37,0.8046,1.6580231744013014,0.099,2.3592548932239508
38,0.7839,1.6812942392507177,0.1004,2.353263826127265
39,0.813,1.6501399673474062,0.0989,2.3595681114561238
40,0.7391,1.7264085620831533,0.099,2.353517409342869
41,0.791,1.6724969999046082,0.1003,2.3577315549182285
42,0.6323,1.823141345552578,0.0962,2.3555627886656745
43,0.7718,1.6903096429861275,0.1019,2.355777921190687
44,0.6155,1.8420923280108505,0.09,2.3654252343876347
45,0.7007,1.7528569219977992,0.1036,2.3507419300686783
46,0.5433,1.912834826548388,0.079,2.3756794929504395
47,0.7883,1.6709748582475503,0.1034,2.3521714924247403
48,0.6619,1.7919210104426002,0.0953,2.3621403320579772
49,0.8304,1.6308761895841855,0.0998,2.3566904766544416
50,0.7513,1.7088050842285156,0.0978,2.357694454253859
51,0.8754,1.5856440181185485,0.0981,2.3600516774851803
52,0.851,1.6108717834873565,0.0992,2.3597193979153968
53,0.8824,1.5807057102774358,0.099,2.358409146594394
54,0.8521,1.6097957252696822,0.0983,2.3613939361207805
55,0.8495,1.614357618769263,0.0987,2.358101059676735
56,0.8485,1.6133285381232099,0.0982,2.3611530923539665
57,0.8193,1.6419866753231949,0.0975,2.358621720295803
58,0.8426,1.6182608308306166,0.0996,2.359650381051811
59,0.8213,1.643432860921143,0.0965,2.3598636305256253
60,0.8548,1.6061371352262557,0.1004,2.3591978717002138
61,0.7988,1.6698004774227264,0.0943,2.3617986979757903
62,0.8502,1.6104749896723753,0.0998,2.3595268027797625
63,0.7149,1.7462794158109434,0.0953,2.3596611994846612
64,0.8351,1.6262693314035988,0.1002,2.3585134645935835
65,0.7741,1.6877169130714076,0.0955,2.3618048421896187
66,0.8643,1.596397875980207,0.1003,2.358915930341004
67,0.837,1.626949311821324,0.095,2.3628329547347535
68,0.8948,1.5655712443552199,0.1003,2.358817108117851
69,0.889,1.5721937539471182,0.0975,2.361037995405258
70,0.9129,1.5503368005631075,0.1003,2.3583894884510404
71,0.92,1.5430128293432248,0.0975,2.3617761757723086
72,0.922,1.5407741487405862,0.1001,2.358728926652556
73,0.9177,1.544729715699603,0.0976,2.361797332763672
74,0.9066,1.5561307197923113,0.0991,2.358983607808496
75,0.9086,1.5538438634507974,0.0973,2.3616797498836637
76,0.8201,1.6409858556310082,0.0998,2.3572453571732637
77,0.8735,1.5873632848642434,0.0959,2.362527060660587
78,0.7989,1.6614604785943488,0.0993,2.357915893481795
79,0.8675,1.5941482341972886,0.0961,2.362079105559428
80,0.8659,1.5965776861093606,0.0984,2.359167288822733
81,0.8835,1.579922894763339,0.098,2.3602253115101224
82,0.9167,1.5465333051742263,0.0988,2.3601515034961094
83,0.9177,1.5452605447951395,0.099,2.360041290331798
84,0.95,1.5126455179445304,0.0988,2.3605217979212476
85,0.9502,1.511908319345705,0.0987,2.361327452264774
86,0.9643,1.4975506249506763,0.0996,2.3602229273243314
87,0.9618,1.5010077907780932,0.0984,2.361657554176962
88,0.9709,1.4923479359620695,0.1004,2.3599899437776797
89,0.9684,1.4941432544380238,0.0984,2.3618794990952607
90,0.9717,1.4906102039252118,0.0999,2.3602202257532983
91,0.9695,1.4939191584374494,0.0986,2.361702556063415
92,0.9713,1.4899249122400953,0.099,2.361128035624316
93,0.9747,1.4884500465575297,0.0987,2.361662533632509
94,0.9758,1.48609377472264,0.0997,2.360855132910856
95,0.977,1.4859761789346198,0.0985,2.361634063113267
96,0.9778,1.4840786457061768,0.0996,2.361096776974429
97,0.9784,1.4836034919046293,0.0987,2.3617314411576387
98,0.9789,1.4827083341634957,0.0988,2.361812032711734
