epoch,test_clean_acc,test_clean_loss,test_asr,test_asr_loss
0,0.1146,2.2963606551953943,0.9982,2.27485236392659
1,0.1135,2.3311912314907,1.0,1.5088253848871607
2,0.4805,1.976471645057581,0.0,2.454687815562935
3,0.3591,2.0969377702968135,0.0,2.455454663865885
4,0.4777,1.982599706406806,0.0,2.4550191156423775
5,0.3633,2.093498373487193,0.0,2.4556838099364264
6,0.5637,1.8940486422010288,0.1958,2.258912276310526
7,0.3561,2.1014228702350786,0.0,2.4545930206396016
8,0.5663,1.8927769410382411,0.1652,2.2887805935683523
9,0.3268,2.1297916454874026,0.0,2.456465136473346
10,0.4488,2.004478420421576,0.0,2.45343317347727
11,0.4076,2.0524918812855035,0.1196,2.333268264296708
12,0.4976,1.9628260515298053,0.0,2.4546825779471426
13,0.422,2.033952311345726,0.1807,2.272360886737799
14,0.5349,1.9245894243762751,0.0,2.456409492310445
15,0.531,1.9282112797354436,0.1609,2.2911940759913936
16,0.5931,1.8647562751344815,0.0,2.4530027990887877
17,0.3981,2.0513606739651626,0.0,2.4536589862434726
18,0.6911,1.770938834566979,0.238,2.218281782356797
19,0.5208,1.938023946847126,0.0,2.4553809408928937
20,0.7275,1.7333440104867244,0.1853,2.271245841008083
21,0.5813,1.8797066796357464,0.0,2.4559709555024556
22,0.7392,1.721551345412139,0.1513,2.3045579126686047
23,0.6004,1.8580482864076164,0.0,2.456636366570831
24,0.7422,1.7202565616862788,0.1311,2.325893160643851
25,0.6341,1.8253058574761554,0.0,2.4569058236043166
26,0.7136,1.7483781963396983,0.112,2.346748338383474
27,0.6642,1.7882987746767178,0.0002,2.452739697353096
28,0.6786,1.7821120737464564,0.0932,2.3664546362154044
29,0.7833,1.679018366868329,0.0954,2.364247521017767
30,0.6347,1.8206812803912316,0.047,2.406474789236761
31,0.8207,1.6422979452048139,0.1112,2.346512143019658
32,0.7433,1.7184134296550873,0.0971,2.362394967656227
33,0.8374,1.6268181200999363,0.1089,2.3495921906392288
34,0.7691,1.6922035065426189,0.0992,2.3596045333109084
35,0.8764,1.5862655449824727,0.1104,2.348150423377942
36,0.7995,1.6621994342014288,0.1097,2.348242093043722
37,0.8681,1.5945874619635807,0.109,2.3505656430675725
38,0.8214,1.639424537397494,0.1137,2.3432283841880266
39,0.8529,1.6131530878650155,0.0998,2.3627696796587316
40,0.8127,1.647079933980468,0.1157,2.340812270049077
41,0.7868,1.6773190938743057,0.0646,2.3935796880418327
42,0.7769,1.6819042597606684,0.1177,2.3392929180412536
43,0.7831,1.6804803177049965,0.0722,2.3865443870520138
44,0.7672,1.691704117568435,0.1158,2.3409940664935265
45,0.7993,1.6665167436478243,0.0959,2.3657852950369476
46,0.7853,1.6748891142523212,0.1129,2.3448796074861176
47,0.8254,1.6411818508889264,0.098,2.3622857005732834
48,0.7968,1.6639816252289303,0.1094,2.34992640033649
49,0.7927,1.674339532092878,0.0905,2.373031380829538
50,0.8057,1.6563150153797903,0.1123,2.3454796781965124
51,0.7929,1.6759055678252202,0.0753,2.3862781236126165
52,0.8288,1.6334897317704122,0.1145,2.3430441078866364
53,0.8308,1.636155728321926,0.0714,2.391041406400644
54,0.8468,1.6137724887033937,0.1198,2.3384453293624197
55,0.8851,1.5854593409094841,0.0791,2.381565874549234
56,0.8695,1.590115499344601,0.1205,2.3384746396617526
57,0.8918,1.5743200983970789,0.0679,2.39157486265632
58,0.9012,1.5601114467450767,0.1161,2.342919501529378
59,0.9172,1.5481427087905302,0.1012,2.360958296781892
60,0.8982,1.5638902878305714,0.1139,2.3440488538924296
61,0.905,1.5582294707085675,0.1022,2.3597925574916183
62,0.8889,1.572908756079947,0.1127,2.345516267096161
63,0.8942,1.5685035058647205,0.1059,2.3559666029207267
64,0.8715,1.5915048577982909,0.1057,2.353529545911558
65,0.8967,1.5674344012691717,0.1077,2.351835967628819
66,0.8372,1.6252482977642375,0.0936,2.3655404209331343
67,0.905,1.5592449371981774,0.1127,2.346499682991368
68,0.8804,1.582118853641923,0.1017,2.3583014588447133
69,0.9138,1.5497300807078174,0.111,2.3480737391550828
70,0.8994,1.5612922094430133,0.1054,2.3538070818421186
71,0.9182,1.5463752738989083,0.1135,2.3449101766962914
72,0.918,1.5448982700420792,0.1056,2.3540452377052064
73,0.937,1.525425321736913,0.1137,2.3457103307080116
74,0.9406,1.522648273000292,0.1098,2.3497272281889705
75,0.9559,1.5067452427687917,0.1142,2.346080912146599
76,0.952,1.5105414010916547,0.1112,2.3491437435150146
77,0.9603,1.5034901837634433,0.1142,2.346062444577551
78,0.9443,1.5177330651860328,0.1112,2.349183211660689
79,0.949,1.5116732204036347,0.1138,2.34654309491443
80,0.9354,1.526977458577247,0.1109,2.3491109784241693
81,0.9395,1.523334578344017,0.1132,2.346258376054703
82,0.937,1.5247686015572517,0.1112,2.3487007040886363
83,0.9411,1.52173141916846,0.1111,2.3486840299739957
84,0.944,1.5195685761749365,0.1123,2.3473431471806423
85,0.9268,1.5368624637081365,0.1027,2.3583820595103466
86,0.9523,1.510951936624612,0.1133,2.346869406426788
87,0.9039,1.5612149997881264,0.0608,2.400225042537519
88,0.9573,1.5062465272891294,0.1155,2.34415780510872
89,0.9155,1.5504937802150751,0.0691,2.392481465248545
90,0.9604,1.5027327742546228,0.1165,2.342769858184134
91,0.9128,1.5528488500862365,0.0608,2.4009617027963044
92,0.9644,1.4992464135406882,0.1172,2.3425666648111525
93,0.9333,1.5322345814127831,0.0832,2.3791314583675116
94,0.9649,1.4979505743950037,0.117,2.3434251250734754
95,0.9416,1.5211325299208331,0.0975,2.3646231973247165
96,0.971,1.4913378080744653,0.1157,2.3449940818130592
97,0.956,1.5079570143086136,0.1052,2.3553962601218252
98,0.9744,1.4879679877287264,0.1149,2.3452450652031382
99,0.9647,1.4979360133978972,0.1094,2.350430781674233
