epoch,test_acc,test_loss
0,0.0352,5.967612858581543
1,0.2602,4.114915231323242
2,0.45,2.6358684162139894
3,0.5192,1.8074857864379883
4,0.5592,1.4278938787460327
5,0.5664,1.3054044651031493
6,0.5849,1.2295614618301391
7,0.6045,1.1591855163574218
8,0.6096,1.137302623939514
9,0.621,1.108010169839859
10,0.6368,1.0586266321182252
11,0.6378,1.0543905203819275
12,0.6458,1.0335240109443664
13,0.65,1.0235419216156005
14,0.6552,1.0051312469482423
15,0.6561,1.0096864099502563
16,0.6663,0.974408744430542
17,0.6593,1.013074102783203
18,0.6645,0.9760415886878967
19,0.6673,0.9568652280807495
20,0.6759,0.9418986573219299
21,0.6863,0.9084740715980529
22,0.6891,0.9013429733276367
23,0.6851,0.9123331765174866
24,0.6911,0.9009085720062255
25,0.6938,0.8878028604507446
26,0.6982,0.8754229783058166
27,0.7002,0.8734147685050965
28,0.7085,0.8364015091896058
29,0.709,0.8345439428329468
