epoch,test_acc,test_precision,test_recall,test_f1,test_loss
0,0.9608,0.9608,0.9608,0.9608,0.12993308536376164
1,0.9716,0.9716,0.9716,0.9716,0.08659860293920728
2,0.9708,0.9708,0.9708,0.9708,0.08972458246425032
3,0.9485,0.9485,0.9485,0.9485,0.21558329145050353
4,0.9231,0.9231,0.9231,0.9231,2.312332908154293
5,0.9179,0.9179,0.9179,0.9179,35.60268690883164
6,0.9162,0.9162,0.9162,0.9162,501.935234486772
7,0.9083,0.9083,0.9083,0.9083,7766.0771615860185
8,0.9103,0.9103,0.9103,0.9103,130099.1241780221
9,0.908,0.908,0.908,0.908,2061740.711422671
10,0.9074,0.9074,0.9074,0.9074,31920255.2352721
11,0.9091,0.9091,0.9091,0.9091,555754503.53533
12,0.9073,0.9073,0.9073,0.9073,8086657374.574076
13,0.9067,0.9067,0.9067,0.9067,137737318318.47134
14,0.9054,0.9054,0.9054,0.9054,2147125471453.7583
15,0.9074,0.9074,0.9074,0.9074,33195468909261.453
16,0.9098,0.9098,0.9098,0.9098,536832104369210.7
17,0.9127,0.9127,0.9127,0.9127,8545578767777583.0
18,0.9077,0.9077,0.9077,0.9076999999999998,1.3790719148539258e+17
19,0.912,0.912,0.912,0.912,2.0421563580226455e+18
