epoch,test_acc,test_loss
0,0.1186,2.3183097490079843
1,0.1314,2.2988629174080626
2,0.1243,2.2818913383848347
3,0.1516,2.2700894000423943
4,0.1863,2.2619145250624153
5,0.2061,2.253418595927536
6,0.2141,2.245845858458501
7,0.2154,2.2400430084034135
8,0.241,2.233605984669582
9,0.2691,2.2245565235235127
10,0.2761,2.2154552890996264
11,0.3078,2.208207807723124
12,0.3519,2.1964583655071865
13,0.3938,2.185529862239862
14,0.4231,2.1725842649010336
15,0.4599,2.158788916411673
16,0.4555,2.147901422658544
17,0.4418,2.1346984881504327
18,0.4176,2.126546419350205
19,0.3761,2.111228393141631
20,0.3587,2.095473445904483
21,0.352,2.0770401453516287
22,0.3341,2.0626878260047574
23,0.3217,2.0523093885676875
24,0.3144,2.03819217499654
25,0.3123,2.022918546275728
26,0.3097,2.0112174483621197
27,0.3219,1.9858773635451201
28,0.3422,1.9589154272322442
29,0.3485,1.9453310670366712
30,0.364,1.9198507343887523
31,0.383,1.8978783970425843
32,0.4165,1.8665250122167503
33,0.4348,1.8411132841353204
34,0.4673,1.8086122790719295
35,0.503,1.7749167544067286
36,0.53,1.7399821243468363
37,0.5609,1.7007907203807953
38,0.5843,1.6654772636996713
39,0.613,1.6239874362945557
40,0.6574,1.5760830997661421
41,0.6855,1.531671404838562
42,0.7061,1.4841994244581576
43,0.7274,1.4421892226881283
44,0.7641,1.387106709419542
45,0.7862,1.338022335319762
46,0.8022,1.292766692532096
47,0.8218,1.2360665593177649
48,0.8397,1.1835776764875765
49,0.857,1.1320422174064977
