epoch,test_acc,test_loss
0,0.1557,2.3002117378696516
1,0.3373,2.295067389299915
2,0.6029,2.2870964867294212
3,0.7413,2.275373931143694
4,0.7945,2.2590193869961297
5,0.8296,2.236098907555744
6,0.8534,2.207087938952598
7,0.8773,2.17005481234022
8,0.8965,2.124994467777811
9,0.9103,2.0728175716035686
10,0.9208,2.0157852765101536
11,0.9309,1.955721987280876
12,0.9381,1.896970464165803
13,0.9444,1.8419193074961377
14,0.9481,1.7888443492780066
15,0.9499,1.7438433838498062
16,0.9528,1.7036622238766617
17,0.9549,1.6694982347974352
18,0.9572,1.6406477401211004
19,0.9587,1.6164665571443595
