epoch,test_acc,test_precision,test_recall,test_f1,test_loss
0,0.4668,0.4668,0.4668,0.4668,2.294082011386847
1,0.7105,0.7105,0.7105,0.7105,2.275930820756657
2,0.7385,0.7385,0.7385,0.7385,2.243681594824335
3,0.75,0.75,0.75,0.75,2.1921119477338853
4,0.7566,0.7566,0.7566,0.7566,2.1223899224761187
5,0.7733,0.7733,0.7733,0.7733,2.0351125966211794
6,0.8067,0.8067,0.8067,0.8067,1.9426343478974264
7,0.8427,0.8427,0.8427,0.8427,1.8607047788656441
8,0.8686,0.8686,0.8686,0.8686,1.7913485044127058
9,0.887,0.887,0.887,0.887,1.736223803204336
10,0.9025,0.9025,0.9025,0.9025,1.6903013833768807
11,0.9124,0.9124,0.9124,0.9124,1.6545540815705706
12,0.9188,0.9188,0.9188,0.9188000000000001,1.6262987388926706
13,0.9262,0.9262,0.9262,0.9261999999999999,1.604312927859604
14,0.9299,0.9299,0.9299,0.9299,1.586708828901789
15,0.9332,0.9332,0.9332,0.9332,1.572947049596507
16,0.9376,0.9376,0.9376,0.9376,1.5617832674342356
17,0.9396,0.9396,0.9396,0.9396,1.5529497573330144
18,0.9418,0.9418,0.9418,0.9418,1.5458241708719047
19,0.9433,0.9433,0.9433,0.9433,1.5397726411272765
